city_name	population	average_income	area_sq_km	founded_date	mayor_name	tourist_attractions	average_temperature	time_zone	major_industries
Kasangulu	6929752	75220.57	37.37	3/29/1865	Graeme Heathwood	museum	15.0	Africa/Kinshasa	tourism
Alfortville	6026639	49253.31	91.94	3/7/1828	Anya Anselmi	park	13.8	Europe/Paris	technology
Blois	5822800	54224.79	999.46	10/12/1782	Flem Setch	museum	15.7	Europe/Paris	tourism
R S	2466409	61770.99	552.2	2/7/1948	Belinda Jedraszek	park	37.5	Asia/Kolkata	technology
Des Moines	5317847	73805.52	408.81	9/21/2016	Hewitt Cordingley	museum	2.3	America/Chicago	technology
Junín	9232493	46715.54	126.11	10/19/1725	Maurice Myall	museum	25.7	America/Lima	manufacturing
Talin Hiag	1787199	48835.18	281.13	4/13/1993	Gordon Joontjes	monument	-8.0	Asia/Harbin	tourism
Panolan	7526349	88681.15	454.13	3/14/1889	Enrica Klishin	museum	24.3	Asia/Jakarta	manufacturing
Dresden	35398	74903.1	107.29	5/15/1787	Clair Bruni	park	-17.6	Europe/Berlin	manufacturing
Aurora	1268749	52385.85	895.02	7/23/1772	Don Verrick	museum	30.6	Asia/Manila	tourism
Vetlanda	772245	39042.83	409.32	8/17/1944	Terri Woodberry	monument	23.8	Europe/Stockholm	technology
Broby	9420109	30806.21	790.81	10/10/1728	Zechariah Robbert	museum	27.5	Europe/Helsinki	technology
Xinglong	6512004	27471.53	772.53	5/6/1720	Tiffy Dobble	park	36.8	Asia/Chongqing	tourism
Pan de Azúcar	1332250	46330.44	412.73	7/11/1926	Delcina Merveille	park	-17.9	America/Montevideo	technology
Vyazniki	1112124	33155.49	567.06	8/17/1828	Barrie Sapshed	monument	-17.7	Europe/Moscow	manufacturing
Lunec	2736545	33733.42	29.98	4/19/1753	Lisha Rumbellow	museum	28.8	Asia/Manila	manufacturing
Udanin	8772309	22037.7	122.91	11/22/1810	Juliet Djorevic	park	19.8	Europe/Warsaw	tourism
Kŭlob	889809	98670.21	21.07	6/12/1789	Sheila Boriston	museum	28.0	Asia/Dushanbe	technology
Huangjiazhai	5223160	38025.78	704.28	7/8/1826	Theda Whitlock	museum	14.6	Asia/Chongqing	tourism
Trindade	9436185	26808.96	718.5	10/28/1919	Roberto Caswill	monument	4.5	America/Sao_Paulo	manufacturing
Kugesi	7709317	47679.24	708.5	2/21/1781	Jolene Barhams	museum	25.2	Europe/Moscow	manufacturing
Kamo	8725369	45457.48	552.77	11/5/1769	Brook Benda	park	19.5	Asia/Yerevan	tourism
Nezamyslice	7034278	30480.68	672.08	8/25/1881	Eldredge Sears	park	34.9	Europe/Prague	tourism
Kołbaskowo	303232	47202.51	950.99	5/15/1761	Remus Swetmore	monument	33.3	Europe/Warsaw	manufacturing
Al Majāridah	5471220	66144.24	748.83	3/4/1870	Alvin Allone	park	5.5	Asia/Riyadh	technology
Matala	9892695	67865.98	174.27	8/15/2022	Deane Cornilleau	museum	12.3	Asia/Manila	tourism
Fulong	5778237	45157.73	669.97	5/7/1785	Zechariah Gretton	museum	8.4	Asia/Shanghai	tourism
Baohe	3028813	51040.47	181.9	12/27/1974	Herc Matelaitis	park	-17.6	Asia/Chongqing	technology
Kyshtym	4694223	35449.79	406.41	2/2/1886	Alexina Humphrys	park	-10.7	Asia/Yekaterinburg	technology
Mishkino	7750680	73433.95	404.7	7/16/1986	Kippie Kivlin	park	-4.2	Asia/Yekaterinburg	tourism
Tushi	9698221	56906.91	92.62	11/19/1927	Lynnette Dowty	museum	-8.4	Asia/Chongqing	technology
Nine	7246490	46776.64	425.39	9/21/1729	Ahmad Villa	monument	19.9	Europe/Lisbon	technology
Huazhuang	8665238	45203.99	954.88	9/12/1701	Colette Champken	monument	5.9	Asia/Shanghai	manufacturing
Phumĭ Véal Srê	2839223	69469.04	51.26	2/28/1714	Benedicta Raycroft	monument	16.8	Asia/Phnom_Penh	technology
Eldama Ravine	6074818	40133.01	101.2	3/3/1822	Sabina Tiner	museum	-8.8	Africa/Nairobi	tourism
Caburan	2830353	54664.95	559.6	7/3/1908	Maridel Fonzone	monument	24.0	Asia/Manila	manufacturing
San Justo	7073963	82809.95	118.51	10/5/1858	Joscelin Canada	monument	28.5	America/Argentina/Cordoba	tourism
Karamat	8440988	93712.0	867.06	6/5/1980	Nisse Habard	park	36.3	Asia/Jakarta	tourism
Bilajari	5647531	67284.78	482.45	2/9/1939	Hill McGready	monument	29.2	Asia/Baku	technology
Radzanów	7959963	94210.94	48.79	2/10/1884	Cindi Baudoux	park	28.7	Europe/Warsaw	manufacturing
Leshan	7636280	26439.58	415.94	10/15/1719	Drud Wareing	monument	36.7	Asia/Shanghai	technology
Gaocheng	3759814	80989.46	249.22	7/30/1903	Venita Dagworthy	museum	-0.6	Asia/Chongqing	technology
Qiandeng	9580191	43076.28	837.81	10/2/1983	Fredericka Blesli	park	18.3	Asia/Shanghai	manufacturing
Crnilište	2409706	44183.83	329.02	4/29/1868	Sanderson covino	museum	-1.2	Europe/Skopje	tourism
Changfeng	1761556	30714.34	643.69	1/15/1802	Rivy Outram	park	-8.3	Asia/Chongqing	tourism
Costa de Rios Frios	5419756	87916.16	304.75	11/7/1800	Mervin Tabary	museum	-10.8	Europe/Lisbon	manufacturing
Gambalidio	5330747	37066.87	877.06	9/3/1726	Karola Jelkes	park	16.4	Asia/Manila	manufacturing
Viamão	5510137	97950.58	559.15	10/14/1885	Katti Dreng	museum	17.3	America/Sao_Paulo	manufacturing
Shigony	9057284	34714.91	747.32	12/31/1843	Berrie Jepensen	monument	12.2	Europe/Samara	tourism
Bao’an	8696919	39917.32	106.61	2/12/1900	Danny Paulon	museum	11.8	Asia/Chongqing	technology
Sumberpucung	2440897	21122.46	961.7	10/17/1714	Dulcia Alston	monument	-10.1	Asia/Jakarta	technology
La Ligua	3843999	42199.48	903.06	8/14/1725	Jeannette Gettins	park	-5.3	America/Santiago	manufacturing
Paris 13	7342299	58426.52	573.11	3/19/1947	Lyssa MacLaverty	park	-5.1	Europe/Paris	manufacturing
Maydolong	7970736	53112.5	159.67	8/19/1896	Tommy Beseke	park	19.1	Asia/Manila	manufacturing
Eslöv	2109407	35433.1	275.2	4/29/1792	Maureene Macvain	museum	2.4	Europe/Stockholm	technology
Alis	2979983	89635.4	469.6	3/22/1845	Jermaine Mirralls	museum	14.8	America/Lima	technology
